,gvkey
638,163051
639,163492
640,163575
641,163601
642,163891
643,163892
644,163893
645,163928
646,163935
647,163938
648,163988
649,164058
650,164103
651,164182
652,164255
653,164275
654,164284
655,164290
656,164300
657,164335
658,164407
659,164471
660,164611
661,164616
662,165053
663,165252
664,165414
665,165471
666,165557
667,165642
668,165702
669,165829
670,165856
671,165878
672,165914
673,166213
674,166312
675,166366
676,166491
677,166733
678,170312
679,170418
680,170994
681,174119
682,174135
683,174147
684,174168
685,174185
686,174265
687,174289
688,174316
689,174413
690,174703
691,174739
692,174870
693,175087
694,175900
695,176249
696,176325
697,176343
698,176361
699,176593
700,176672
701,176914
702,176964
703,177176
704,177340
705,177882
706,177924
707,177945
708,178084
709,178201
710,178304
711,178593
712,178704
713,178806
714,178838
715,178896
716,178973
717,179164
718,179187
719,179342
720,179390
721,179596
722,179660
723,179694
724,179805
725,179818
726,180016
727,180227
728,180402
729,180471
730,180759
731,181036
732,181784
733,183022
734,183227
735,183237
736,183266
737,183421
738,183471
739,183526
740,183570
741,183635
742,183683
743,183704
744,183838
745,184031
746,184035
747,184323
748,184807
749,184880
750,185005
751,185190
752,185194
753,185227
754,185501
755,185524
756,185645
757,185653
758,185928
759,185938
760,186452
761,186501
762,186785
763,186846
764,186960
765,186994
766,187119
767,187392
768,187714
769,187737
770,187775
771,187814
772,199456
773,201300
774,205677
775,217200
776,264391
777,264708
778,264709
779,266196
780,273358
