,ticker,cik,filing_type,period_end,file_name,url,success,,,,,
0,2178,2178,10-K,12/31/2019,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000002178_2019-12-31_10-K_0000002178-20-000013_filing-details.html,https://www.sec.gov/Archives/edgar/data/0000002178/000000217820000013/ae-20191231.htm,TRUE,,2178,94,,
1,2178,2178,10-K,12/31/2018,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000002178_2018-12-31_10-K_0000002178-19-000011_filing-details.html,https://www.sec.gov/Archives/edgar/data/0000002178/000000217819000011/ae-20181231.htm,TRUE,,4447,,,
2,2178,2178,10-K,12/31/2017,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000002178_2017-12-31_10-K_0000002178-18-000009_filing-details.html,https://www.sec.gov/Archives/edgar/data/0000002178/000000217818000009/a2017form10-k.htm,TRUE,,1163739,,1888,
3,2178,2178,10-K,12/31/2016,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000002178_2016-12-31_10-K_0000002178-17-000019_filing-details.html,https://www.sec.gov/Archives/edgar/data/0000002178/000000217817000019/form10_k.htm,TRUE,,8411,,,
4,2178,2178,10-K,12/31/2015,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000002178_2015-12-31_10-K_0000002178-16-000064_filing-details.html,https://www.sec.gov/Archives/edgar/data/0000002178/000000217816000064/form10-k.htm,TRUE,,744187,,,
5,2178,2178,10-K,12/31/2014,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000002178_2014-12-31_10-K_0000002178-15-000014_filing-details.html,https://www.sec.gov/Archives/edgar/data/0000002178/000000217815000014/form10_k.htm,TRUE,,808362,,,
6,2178,2178,10-Q,9/30/2020,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000002178_2020-09-30_10-Q_0000002178-20-000135_filing-details.html,https://www.sec.gov/Archives/edgar/data/0000002178/000000217820000135/ae-20200930.htm,TRUE,,10048,,,
7,2178,2178,10-Q,6/30/2020,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000002178_2020-06-30_10-Q_0000002178-20-000105_filing-details.html,https://www.sec.gov/Archives/edgar/data/0000002178/000000217820000105/ae-20200630.htm,TRUE,,314808,,,
8,2178,2178,10-Q,3/31/2020,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000002178_2020-03-31_10-Q_0000002178-20-000057_filing-details.html,https://www.sec.gov/Archives/edgar/data/0000002178/000000217820000057/ae-20200331.htm,TRUE,,93410,,,
9,2178,2178,10-Q,9/30/2019,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000002178_2019-09-30_10-Q_0000002178-19-000107_filing-details.html,https://www.sec.gov/Archives/edgar/data/0000002178/000000217819000107/ae-20190930.htm,TRUE,,200155,,,4976.250644
