,ticker,cik,filing_type,period_end,file_name,url,success
0,TREC,0000007039,TREC,2019-12-31,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\TREC_2019-12-31_10-K_0000007039-20-000050_filing-details.html,https://www.sec.gov/Archives/edgar/data/0000007039/000000703920000050/trecora201910k.htm,True
1,TREC,0000007039,TREC,2018-12-31,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\TREC_2018-12-31_10-K_0000007039-19-000030_filing-details.html,https://www.sec.gov/Archives/edgar/data/0000007039/000000703919000030/trecora201810k.htm,True
2,TREC,0000007039,TREC,2017-12-31,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\TREC_2017-12-31_10-K_0000007039-18-000003_filing-details.html,https://www.sec.gov/Archives/edgar/data/0000007039/000000703918000003/form10k123117.htm,True
3,TREC,0000007039,TREC,2016-12-31,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\TREC_2016-12-31_10-K_0000007039-17-000009_filing-details.html,https://www.sec.gov/Archives/edgar/data/0000007039/000000703917000009/form10k123116.htm,True
4,TREC,0000007039,TREC,2015-12-31,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\TREC_2015-12-31_10-K_0000007039-16-000034_filing-details.html,https://www.sec.gov/Archives/edgar/data/0000007039/000000703916000034/form10k123115.htm,True
5,TREC,0000007039,TREC,2014-12-31,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\TREC_2014-12-31_10-K_0000007039-15-000003_filing-details.html,https://www.sec.gov/Archives/edgar/data/0000007039/000000703915000003/form10k123114.htm,True
6,TREC,0000007039,TREC,2020-09-30,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\TREC_2020-09-30_10-Q_0000007039-20-000142_filing-details.html,https://www.sec.gov/Archives/edgar/data/0000007039/000000703920000142/trec-20200930.htm,True
7,TREC,0000007039,TREC,2020-06-30,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\TREC_2020-06-30_10-Q_0000007039-20-000125_filing-details.html,https://www.sec.gov/Archives/edgar/data/0000007039/000000703920000125/trecoraq2202010q.htm,True
8,TREC,0000007039,TREC,2020-03-31,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\TREC_2020-03-31_10-Q_0000007039-20-000087_filing-details.html,https://www.sec.gov/Archives/edgar/data/0000007039/000000703920000087/trecoraq1202010q.htm,True
9,TREC,0000007039,TREC,2019-09-30,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\TREC_2019-09-30_10-Q_0000007039-19-000196_filing-details.html,https://www.sec.gov/Archives/edgar/data/0000007039/000000703919000196/trecoraq3201910q.htm,True
10,TREC,0000007039,TREC,2019-06-30,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\TREC_2019-06-30_10-Q_0000007039-19-000182_filing-details.html,https://www.sec.gov/Archives/edgar/data/0000007039/000000703919000182/trecoraq2201910q.htm,True
11,TREC,0000007039,TREC,2019-03-31,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\TREC_2019-03-31_10-Q_0000007039-19-000103_filing-details.html,https://www.sec.gov/Archives/edgar/data/0000007039/000000703919000103/trecoraq1201910q.htm,True
12,TREC,0000007039,TREC,2018-09-30,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\TREC_2018-09-30_10-Q_0000007039-18-000059_filing-details.html,https://www.sec.gov/Archives/edgar/data/0000007039/000000703918000059/trecoraq3201810q.htm,True
